origin_x,origin_y
5375,0.41370082
5376,0.41198858
5377,0.4107974
5378,0.4102214
5379,0.4102882
5380,0.41104673
5381,0.41257087
5382,0.41464014
5383,0.41719793
5384,0.41993163
5385,0.4228513
5386,0.42583452
5387,0.42856988
5388,0.4309962
5389,0.43289891
5390,0.43425327
5391,0.43506837
5392,0.4349669
5393,0.43413902
5394,0.43278976
5395,0.43075107
5396,0.42850565
5397,0.42586624
5398,0.42276719
5399,0.41976819
5400,0.41694408
5401,0.4145492
5402,0.412577
5403,0.41122135
5404,0.41046229
5405,0.41036025
5406,0.41085342
5407,0.41218175
5408,0.41413538
5409,0.41641054
5410,0.41932625
5411,0.42222601
5412,0.42507523
5413,0.42776928
5414,0.43026919
5415,0.43233294
5416,0.43384205
5417,0.43459614
5418,0.434717
5419,0.43415962
5420,0.43284409
5421,0.43098191
5422,0.42847734
5423,0.42574174
5424,0.42293062
5425,0.41983031
5426,0.4170042
5427,0.41445884
5428,0.41239097
5429,0.41095474
5430,0.41009496
5431,0.40996315
5432,0.41056583
5433,0.41178843
5434,0.41353344
5435,0.41591405
5436,0.4185786
5437,0.42152583
5438,0.4246757
5439,0.42734773
5440,0.42967602
5441,0.43174178
5442,0.4332827
5443,0.43406256
5444,0.43402912
5445,0.43338717
5446,0.43211624
5447,0.4301272
5448,0.42771396
5449,0.42506868
5450,0.42211096
5451,0.41914849
5452,0.41642977
5453,0.41399965
5454,0.41214418
5455,0.41087426
5456,0.41018202
5457,0.41025279
5458,0.41117374
5459,0.41271912
5460,0.41493733
5461,0.41745643
5462,0.4202476
5463,0.42339835
5464,0.42643918
5465,0.42925604
5466,0.431404
5467,0.43326875
5468,0.43456787
5469,0.4350391
5470,0.43478742
5471,0.4338765
5472,0.43238733
5473,0.4302411
5474,0.42771553
5475,0.42483521
5476,0.42181584
5477,0.41878163
5478,0.41609899
5479,0.41380826
5480,0.41219799
5481,0.41106629
5482,0.41089111
5483,0.41140251
5484,0.4126118
5485,0.41441259
5486,0.41660572
5487,0.4193946
5488,0.42233018
5489,0.42520481
5490,0.42790334
5491,0.4304527
5492,0.43256325
5493,0.43396319
5494,0.43480488
5495,0.43489061
5496,0.43415199
5497,0.43272852
5498,0.43079656
5499,0.42853891
5500,0.42579658
5501,0.42259497
5502,0.41949899
5503,0.41670056
5504,0.41417599
5505,0.41226777
5506,0.41096804
5507,0.41046871
5508,0.41067534
5509,0.41153166
5510,0.41315457
5511,0.41534691
5512,0.41799516
5513,0.42081315
5514,0.42383602
5515,0.42676281
5516,0.42940242
5517,0.43159427
5518,0.43315605
5519,0.43408788
5520,0.43425893
5521,0.43363765
5522,0.43218932
5523,0.4304237
5524,0.42816723
5525,0.42555554
5526,0.42276025
5527,0.41989826
5528,0.41721841
5529,0.41475441
5530,0.41294711
5531,0.41170343
5532,0.41119523
5533,0.41150009
5534,0.41242548
5535,0.41384771
5536,0.41608723
5537,0.41867205
5538,0.42138878
5539,0.42446671
5540,0.42717728
5541,0.42970696
5542,0.43185496
5543,0.43335503
5544,0.43423985
5545,0.43430824
5546,0.43389447
5547,0.43255249
5548,0.43053707
5549,0.42799371
5550,0.42532128
5551,0.42241784
5552,0.41960697
5553,0.41698989
5554,0.4147501
5555,0.41313307
5556,0.41207297
5557,0.41165198
5558,0.41219331
5559,0.41333272
5560,0.41525324
5561,0.4175719
5562,0.42013097
5563,0.42303858
5564,0.42606631
5565,0.42901335
5566,0.43157226
5567,0.43343508
5568,0.43476979
5569,0.4352799
5570,0.43516066
5571,0.43409419
5572,0.43260988
5573,0.43056241
5574,0.42793641
5575,0.42493528
5576,0.42189326
5577,0.41899403
5578,0.41637494
5579,0.41426188
5580,0.41273948
5581,0.41217061
5582,0.41227712
5583,0.4131505
5584,0.41456649
5585,0.41673917
5586,0.41912779
5587,0.42207358
5588,0.42499289
5589,0.42787209
5590,0.43043892
5591,0.43267106
5592,0.43404644
5593,0.43494463
5594,0.43502896
5595,0.43438769
5596,0.43293932
5597,0.4309064
5598,0.42844431
5599,0.4256517
5600,0.42241876
5601,0.41948181
5602,0.41678992
5603,0.41450272
5604,0.41268351
5605,0.41174601
5606,0.41154917
5607,0.41227924
5608,0.41338752
5609,0.41532564
5610,0.41792549
5611,0.42055503
5612,0.42340567
5613,0.42619915
5614,0.42889498
5615,0.43121068
5616,0.43290868
5617,0.43390315
5618,0.43402228
5619,0.43353218
5620,0.43220241
5621,0.43034262
5622,0.42779242
5623,0.42506637
5624,0.42205511
5625,0.41920919
5626,0.41667851
5627,0.41439594
5628,0.41270874
5629,0.41154806
5630,0.41124412
5631,0.41170776
5632,0.4129688
5633,0.4148959
5634,0.41739477
5635,0.42017412
5636,0.42314518
5637,0.42612184
5638,0.42876027
5639,0.43103464
5640,0.43260821
5641,0.43349193
5642,0.43365344
5643,0.43308101
5644,0.43187854
5645,0.42995024
5646,0.42742925
5647,0.42474713
5648,0.42171086
5649,0.41879731
5650,0.41615897
5651,0.41398051
5652,0.4123075
5653,0.41135484
5654,0.41115691
5655,0.41188967
5656,0.41325297
5657,0.41523237
5658,0.41769178
5659,0.42063192
