origin_x,origin_y
5480,0.12679721
5481,0.12616006
5482,0.12574263
5483,0.12560296
5484,0.12567449
5485,0.12602527
5486,0.12656068
5487,0.12728308
5488,0.12816215
5489,0.12913193
5490,0.13015604
5491,0.13113505
5492,0.13202267
5493,0.13275416
5494,0.1333176
5495,0.13363187
5496,0.13371573
5497,0.13355915
5498,0.13314907
5499,0.13253614
5500,0.13173206
5501,0.13080852
5502,0.12982545
5503,0.12883324
5504,0.12788997
5505,0.12704494
5506,0.12637779
5507,0.12591537
5508,0.12566057
5509,0.12566271
5510,0.1259257
5511,0.12643961
5512,0.12711673
5513,0.12796038
5514,0.12891517
5515,0.12992147
5516,0.13090279
5517,0.13181325
5518,0.13257448
5519,0.13319072
5520,0.13357434
5521,0.1337141
5522,0.13354929
5523,0.13316232
5524,0.13255214
5525,0.13176214
5526,0.1308658
5527,0.12985997
5528,0.12885562
5529,0.12794525
5530,0.12712199
5531,0.12644919
5532,0.12599053
5533,0.12574657
5534,0.12579343
5535,0.12610502
5536,0.12660183
5537,0.12734125
5538,0.12820821
5539,0.12919703
5540,0.13021328
5541,0.13117956
5542,0.1320664
5543,0.1328219
5544,0.13340828
5545,0.13374299
5546,0.13385432
5547,0.13370134
5548,0.13331365
5549,0.13269404
5550,0.13189115
5551,0.13097494
5552,0.12996937
5553,0.12896004
5554,0.12799937
5555,0.12719974
5556,0.1265548
5557,0.12613675
5558,0.12597544
5559,0.12605889
5560,0.12638791
5561,0.12695751
5562,0.12769446
5563,0.12860029
5564,0.1295822
5565,0.13056617
5566,0.1315646
5567,0.13240777
5568,0.13310281
5569,0.13360539
5570,0.13384501
5571,0.13385657
5572,0.1335841
5573,0.13306689
5574,0.13236182
5575,0.13150715
5576,0.1305354
5577,0.12951651
5578,0.12851151
5579,0.12760798
5580,0.12689397
5581,0.12635649
5582,0.12606745
5583,0.12603575
5584,0.12625132
5585,0.12669824
5586,0.1273819
5587,0.12821612
5588,0.12919099
5589,0.13019006
5590,0.13119998
5591,0.13213322
5592,0.13289139
5593,0.13347393
5594,0.13382718
5595,0.13392643
5596,0.13376424
5597,0.13331062
5598,0.13268356
5599,0.13184292
5600,0.13092243
5601,0.12991335
5602,0.12891437
5603,0.12798941
5604,0.12719304
5605,0.12661027
5606,0.12620655
5607,0.12614668
5608,0.12630379
5609,0.12669797
5610,0.12730038
5611,0.12809837
5612,0.12901973
5613,0.1300415
5614,0.13102595
5615,0.13195201
5616,0.13274236
5617,0.133333
5618,0.13374435
5619,0.13386477
5620,0.13374234
5621,0.13334471
5622,0.13276794
5623,0.1319712
5624,0.13106224
5625,0.1300506
5626,0.12907539
5627,0.12812486
5628,0.12731651
5629,0.12670587
5630,0.12630344
5631,0.12617464
5632,0.12628456
5633,0.12666797
5634,0.12730218
5635,0.12807673
5636,0.12899421
5637,0.12999115
5638,0.13100423
5639,0.1319143
5640,0.13268998
5641,0.13327479
5642,0.1336394
5643,0.13377234
5644,0.13365108
5645,0.13325758
5646,0.13265714
5647,0.13182685
5648,0.13085224
5649,0.12982731
5650,0.12881561
5651,0.12790498
5652,0.12712057
5653,0.12652554
5654,0.1261685
5655,0.12605974
5656,0.12625121
5657,0.12663801
5658,0.1272824
5659,0.12811228
5660,0.12904342
5661,0.13003412
5662,0.13098465
5663,0.13188426
5664,0.13263399
5665,0.13318383
5666,0.13348308
5667,0.13355177
5668,0.13334337
5669,0.13288334
5670,0.13222156
5671,0.13138232
5672,0.1304255
5673,0.1294301
5674,0.12845022
5675,0.1275552
5676,0.12680857
5677,0.12636783
5678,0.12611838
5679,0.12612878
5680,0.12641756
5681,0.12691747
5682,0.12763131
5683,0.12851265
5684,0.12950543
5685,0.1304859
5686,0.13144086
5687,0.13228815
5688,0.13297334
5689,0.13338995
5690,0.1336093
5691,0.13353823
5692,0.13318882
5693,0.13260431
5694,0.13182876
5695,0.13093582
5696,0.12996501
5697,0.12896258
5698,0.12801221
5699,0.12723128
5700,0.12661439
5701,0.12624059
5702,0.12611195
5703,0.12625054
5704,0.126685
5705,0.12734593
5706,0.12816654
5707,0.12911213
5708,0.13010081
5709,0.13106921
5710,0.13194421
5711,0.13268334
5712,0.13324123
5713,0.1334924
5714,0.13349973
5715,0.13325286
5716,0.13272975
5717,0.13205347
5718,0.13116001
5719,0.13017379
5720,0.12911265
5721,0.12818059
5722,0.1273253
5723,0.12668396
5724,0.12624214
5725,0.1261005
5726,0.12620069
5727,0.12658722
5728,0.12719183
5729,0.12798174
5730,0.12887042
5731,0.12990445
5732,0.13088894
5733,0.13180325
5734,0.13256432
5735,0.1331273
5736,0.13343833
5737,0.13349724
5738,0.13326566
5739,0.13277083
5740,0.13207567
5741,0.13119901
5742,0.1302475
5743,0.12926113
5744,0.12833763
5745,0.12750894
5746,0.12686552
5747,0.12643341
5748,0.12624843
5749,0.12636176
5750,0.12673988
5751,0.12734732
5752,0.1281363
5753,0.12907688
5754,0.13007779
5755,0.13103923
5756,0.13191967
5757,0.1326972
5758,0.13324194
5759,0.13351713
5760,0.13355231
5761,0.13330814
5762,0.13278709
5763,0.13205369
5764,0.1311737
5765,0.13018668
5766,0.12919429
5767,0.12824716
5768,0.12744194
5769,0.12683871
5770,0.12645806
5771,0.1263328
5772,0.12647794
5773,0.12688969
5774,0.12750164
5775,0.12835372
5776,0.12927101
5777,0.13029376
5778,0.13129811
5779,0.1321978
5780,0.13292475
5781,0.1334318
5782,0.13366166
5783,0.13366135
5784,0.13333709
5785,0.13276036
5786,0.13197221
5787,0.13107759
5788,0.13006862
5789,0.1290754
