train_x,train_y
3379,0.13010847
3380,0.13110954
3381,0.13210659
3382,0.13310144
3383,0.13409068
3384,0.13507259
3385,0.13604613
3386,0.13700791
3387,0.13796031
3388,0.13890261
3389,0.13982666
3390,0.14073865
3391,0.14163302
3392,0.14250722
3393,0.14336046
3394,0.14419366
3395,0.14500129
3396,0.14578693
3397,0.14654662
3398,0.1472822
3399,0.14799262
3400,0.14867217
3401,0.14931911
3402,0.14994424
3403,0.1505288
3404,0.15108065
3405,0.15159956
3406,0.15208557
3407,0.15253532
3408,0.15294537
3409,0.15332032
3410,0.15365648
3411,0.15395788
3412,0.15421512
3413,0.15442924
3414,0.15460497
3415,0.15474355
3416,0.15483492
3417,0.15488706
3418,0.15489812
3419,0.15486403
3420,0.15479582
3421,0.15468594
3422,0.15453453
3423,0.15433828
3424,0.15410087
3425,0.15382329
3426,0.15350444
3427,0.15314354
3428,0.15274553
3429,0.15230638
3430,0.15183094
3431,0.15132035
3432,0.15076735
3433,0.15018049
3434,0.14955929
3435,0.14890914
3436,0.14822325
3437,0.14750807
3438,0.14676009
3439,0.14598543
3440,0.1451822
3441,0.1443516
3442,0.14349861
3443,0.14261924
3444,0.14171701
3445,0.1407974
3446,0.13986168
3447,0.13890816
3448,0.13794145
3449,0.13696157
3450,0.13597213
3451,0.13497514
3452,0.13397164
3453,0.13296316
3454,0.13195056
3455,0.13094042
3456,0.12993309
3457,0.12892809
3458,0.12793
3459,0.12693795
3460,0.12595794
3461,0.12498665
3462,0.12402895
3463,0.12308807
3464,0.12216708
3465,0.1212653
3466,0.1203845
3467,0.11952617
3468,0.1186945
3469,0.11789184
3470,0.11711816
3471,0.11637508
3472,0.1156664
3473,0.11499071
3474,0.11435105
3475,0.11374899
3476,0.11318581
3477,0.11266433
3478,0.11218381
3479,0.11174712
3480,0.11135316
3481,0.11100356
3482,0.1106983
3483,0.11044103
3484,0.11023059
3485,0.11006766
3486,0.10995403
3487,0.10988686
3488,0.10986901
3489,0.10990088
3490,0.10998121
3491,0.11011142
3492,0.11028951
3493,0.11051554
3494,0.11078766
3495,0.11110788
3496,0.11147461
3497,0.11188716
3498,0.11234451
3499,0.11284645
3500,0.11339119
3501,0.11397662
3502,0.11460158
3503,0.11526858
3504,0.11596956
3505,0.11670694
3506,0.1174785
3507,0.11828034
3508,0.11911141
3509,0.11996933
3510,0.12085284
3511,0.1217604
3512,0.12268746
3513,0.12363144
3514,0.1245922
3515,0.12556913
3516,0.12655558
3517,0.12755209
3518,0.12855252
3519,0.12955702
3520,0.13056081
3521,0.13156532
3522,0.13256471
3523,0.13355556
3524,0.13453688
3525,0.13550427
3526,0.13645561
3527,0.1373916
3528,0.13830468
3529,0.13919679
3530,0.1400596
3531,0.14089919
3532,0.14170738
3533,0.14247721
3534,0.14321604
3535,0.14391706
3536,0.14457686
3537,0.14519486
3538,0.1457705
3539,0.14630437
3540,0.14678401
3541,0.14722326
3542,0.1476118
3543,0.14795152
3544,0.14823774
3545,0.14847079
3546,0.14864907
3547,0.14877521
3548,0.14884638
3549,0.14886103
3550,0.14882043
3551,0.14872428
3552,0.14857578
3553,0.14837019
3554,0.14811426
3555,0.14780234
3556,0.14744039
3557,0.14702677
3558,0.14656277
3559,0.14605237
3560,0.14549069
3561,0.14488359
3562,0.1442331
3563,0.14354083
3564,0.14280646
3565,0.14203666
3566,0.1412314
3567,0.14039392
3568,0.1395267
3569,0.13862908
3570,0.13770908
3571,0.13676379
3572,0.13580329
3573,0.13482436
3574,0.13383308
3575,0.13283472
3576,0.13182796
3577,0.13081957
3578,0.12981172
3579,0.12880643
3580,0.12780856
3581,0.12682042
3582,0.1258461
3583,0.12488756
3584,0.12394855
3585,0.12303258
3586,0.12214325
3587,0.12128425
3588,0.12045805
3589,0.11966628
3590,0.11891339
3591,0.11820036
3592,0.11753127
3593,0.11690649
3594,0.11632996
3595,0.11580379
3596,0.11532842
3597,0.11490825
3598,0.11454114
3599,0.11423083
3600,0.11397849
3601,0.11378532
3602,0.11365088
3603,0.11357785
3604,0.11356427
3605,0.11361149
3606,0.11371755
3607,0.11388533
3608,0.11411212
3609,0.11439781
3610,0.11474083
3611,0.11514125
3612,0.11559596
3613,0.1161067
3614,0.11666835
3615,0.11727919
3616,0.11793799
3617,0.11864126
3618,0.11938899
3619,0.12017714
3620,0.12100194
3621,0.12186085
3622,0.12275057
3623,0.12366663
3624,0.12460711
3625,0.12556761
3626,0.12654553
3627,0.12753505
3628,0.12853429
3629,0.12953948
3630,0.13054696
3631,0.13155147
3632,0.13254825
3633,0.13353427
3634,0.13450821
3635,0.13546179
3636,0.13639473
3637,0.13729777
3638,0.13817456
3639,0.13901824
3640,0.13982331
3641,0.14059119
3642,0.14131537
3643,0.14199423
3644,0.14262434
3645,0.14320342
3646,0.14372577
3647,0.1441921
3648,0.1446012
3649,0.14494912
3650,0.14523613
3651,0.14545882
3652,0.14561805
3653,0.14571345
3654,0.14574538
3655,0.14570977
3656,0.14560832
3657,0.14543984
3658,0.14520984
3659,0.14491322
3660,0.14455845
3661,0.1441392
3662,0.1436589
3663,0.14312268
3664,0.14253248
3665,0.14188988
3666,0.14119606
3667,0.14045645
3668,0.13967167
3669,0.1388477
3670,0.13798725
3671,0.13709476
3672,0.13617177
3673,0.13522409
3674,0.13425642
3675,0.13327042
3676,0.13227325
3677,0.13126491
3678,0.13025622
3679,0.12924827
3680,0.12824566
3681,0.12725456
3682,0.12627865
3683,0.12532281
3684,0.12439063
3685,0.12348579
3686,0.12261435
3687,0.12177936
3688,0.12098403
3689,0.12023366
3690,0.11953076
3691,0.11888044
3692,0.11828488
3693,0.11774618
3694,0.11726693
3695,0.11685043
3696,0.11649806
3697,0.11621266
3698,0.11599447
3699,0.1158453
3700,0.11576558
3701,0.11575511
3702,0.11581444
