x,y,,2126,0.42579658
1374,0.42278501,,2127,0.42259497
1375,0.4257315,,2128,0.41949899
1376,0.42868162,,2129,0.41670056
1377,0.43161204,,2130,0.41417599
1378,0.43448487,,2131,0.41226777
1379,0.43737157,,2132,0.41096804
1380,0.44024939,,2133,0.41046871
1381,0.44306539,,2134,0.41067534
1382,0.44584675,,2135,0.41153166
1383,0.44857132,,2136,0.41315457
1384,0.45126851,,2137,0.41534691
1385,0.453896,,2138,0.41799516
1386,0.45650904,,2139,0.42081315
1387,0.45903906,,2140,0.42383602
1388,0.461516,,2141,0.42676281
1389,0.46392897,,2142,0.42940242
1390,0.46628261,,2143,0.43159427
1391,0.46858375,,2144,0.43315605
1392,0.47079189,,2145,0.43408788
1393,0.47291081,,2146,0.43425893
1394,0.4749577,,2147,0.43363765
1395,0.47691766,,2148,0.43218932
1396,0.47877793,,2149,0.4304237
1397,0.48055213,,2150,0.42816723
1398,0.48221022,,2151,0.42555554
1399,0.48377008,,2152,0.42276025
1400,0.48520263,,2153,0.41989826
1401,0.48658622,,2154,0.41721841
1402,0.48783456,,2155,0.41475441
1403,0.48899739,,2156,0.41294711
1404,0.49004527,,2157,0.41170343
1405,0.49097168,,2158,0.41119523
1406,0.49178853,,2159,0.41150009
1407,0.49248666,,2160,0.41242548
1408,0.49308412,,2161,0.41384771
1409,0.49355935,,2162,0.41608723
1410,0.49390533,,2163,0.41867205
1411,0.49413583,,2164,0.42138878
1412,0.49422728,,2165,0.42446671
1413,0.49422331,,2166,0.42717728
1414,0.49407821,,2167,0.42970696
1415,0.49384991,,2168,0.43185496
1416,0.49339993,,2169,0.43335503
1417,0.49288982,,2170,0.43423985
1418,0.49224528,,2171,0.43430824
1419,0.49149456,,2172,0.43389447
1420,0.49064484,,2173,0.43255249
1421,0.4896335,,2174,0.43053707
1422,0.48852217,,2175,0.42799371
1423,0.48730932,,2176,0.42532128
1424,0.48596276,,2177,0.42241784
1425,0.4845079,,2178,0.41960697
1426,0.48298248,,2179,0.41698989
1427,0.48132335,,2180,0.4147501
1428,0.47955864,,2181,0.41313307
1429,0.4776963,,2182,0.41207297
1430,0.47573463,,2183,0.41165198
1431,0.47369588,,2184,0.41219331
1432,0.47154978,,2185,0.41333272
1433,0.46930798,,2186,0.41525324
1434,0.4670148,,2187,0.4175719
1435,0.4646316,,2188,0.42013097
1436,0.46215485,,2189,0.42303858
1437,0.45961088,,2190,0.42606631
1438,0.45699209,,2191,0.42901335
1439,0.45432918,,2192,0.43157226
1440,0.45160227,,2193,0.43343508
1441,0.4488463,,2194,0.43476979
1442,0.44605411,,2195,0.4352799
1443,0.44320525,,2196,0.43516066
1444,0.4403341,,2197,0.43409419
1445,0.43742574,,2198,0.43260988
1446,0.43451453,,2199,0.43056241
1447,0.43157946,,2200,0.42793641
1448,0.42859383,,2201,0.42493528
1449,0.42562799,,2202,0.42189326
1450,0.42265668,,2203,0.41899403
1451,0.41969151,,2204,0.41637494
1452,0.4167303,,2205,0.41426188
1453,0.41381419,,2206,0.41273948
1454,0.4109098,,2207,0.41217061
1455,0.4080646,,2208,0.41227712
1456,0.40525658,,2209,0.4131505
1457,0.40247431,,2210,0.41456649
1458,0.3997462,,2211,0.41673917
1459,0.39706899,,2212,0.41912779
1460,0.39444329,,2213,0.42207358
1461,0.39188395,,2214,0.42499289
1462,0.3893936,,2215,0.42787209
1463,0.38697179,,2216,0.43043892
1464,0.38464303,,2217,0.43267106
1465,0.382392,,2218,0.43404644
1466,0.3802534,,2219,0.43494463
1467,0.37820519,,2220,0.43502896
1468,0.37624097,,2221,0.43438769
1469,0.37441342,,2222,0.43293932
1470,0.37269683,,2223,0.4309064
