train_x,train_y
3374,0.7344425
3375,0.73829475
3376,0.74209434
3377,0.74585609
3378,0.74951633
3379,0.75310254
3380,0.75664864
3381,0.76010571
3382,0.76343704
3383,0.7666938
3384,0.76982711
3385,0.7728593
3386,0.77579184
3387,0.77861493
3388,0.78128659
3389,0.78387953
3390,0.78630909
3391,0.78860607
3392,0.79080278
3393,0.79287551
3394,0.79478388
3395,0.79655383
3396,0.79814661
3397,0.79958984
3398,0.80089228
3399,0.80202358
3400,0.80303388
3401,0.80384735
3402,0.80451323
3403,0.80503057
3404,0.8053648
3405,0.80554637
3406,0.80558226
3407,0.80542639
3408,0.80509252
3409,0.80461381
3410,0.80394835
3411,0.8031258
3412,0.80213961
3413,0.80101525
3414,0.79969534
3415,0.79825022
3416,0.7966188
3417,0.79485105
3418,0.79293156
3419,0.79086308
3420,0.78862604
3421,0.78627096
3422,0.78378098
3423,0.78113796
3424,0.77836277
3425,0.77548679
3426,0.77248079
3427,0.7693565
3428,0.76613256
3429,0.76279607
3430,0.75935866
3431,0.75582861
3432,0.75220776
3433,0.74855111
3434,0.74481214
3435,0.74099959
3436,0.73711516
3437,0.73317879
3438,0.72923492
3439,0.72521928
3440,0.72121424
3441,0.71715569
3442,0.71309522
3443,0.70903831
3444,0.70498704
3445,0.70096298
3446,0.69696762
3447,0.69296976
3448,0.68902416
3449,0.68510835
3450,0.68127876
3451,0.67751059
3452,0.67379847
3453,0.67017429
3454,0.66663123
3455,0.66318936
3456,0.65982712
3457,0.65659262
3458,0.65343795
3459,0.65043793
3460,0.64754996
3461,0.64480706
3462,0.64221395
3463,0.63975146
3464,0.63745337
3465,0.63530173
3466,0.63333002
3467,0.63151626
3468,0.62986745
3469,0.62840458
3470,0.62712615
3471,0.62602348
3472,0.62510635
3473,0.62436818
3474,0.62382958
3475,0.62346912
3476,0.62329734
3477,0.6233411
3478,0.62356268
3479,0.62398787
3480,0.62459828
3481,0.62540083
3482,0.62641343
3483,0.62759039
3484,0.62895291
3485,0.63052072
3486,0.6322694
3487,0.63418096
3488,0.63629389
3489,0.63856122
3490,0.64099244
3491,0.64358273
3492,0.64632936
3493,0.64921587
3494,0.65225319
3495,0.65540507
3496,0.65869217
3497,0.66209684
3498,0.66560873
3499,0.6692208
3500,0.67291697
3501,0.67667962
3502,0.68054896
3503,0.68445963
3504,0.68844992
3505,0.69246778
3506,0.69650814
3507,0.70056484
3508,0.70464027
3509,0.70872592
3510,0.71280959
3511,0.7168591
3512,0.72088583
3513,0.72486847
3514,0.72880418
3515,0.73267106
3516,0.7364911
3517,0.74022842
3518,0.74385397
3519,0.74737501
3520,0.75080041
3521,0.75408584
3522,0.75725024
3523,0.76027628
3524,0.7631699
3525,0.76588689
3526,0.76842785
3527,0.77081618
3528,0.77304939
3529,0.77508581
3530,0.77693768
3531,0.77858044
3532,0.78004496
3533,0.78128045
3534,0.78230399
3535,0.78313104
3536,0.78374409
3537,0.7841266
3538,0.7842894
3539,0.78425191
3540,0.78398746
3541,0.78350746
3542,0.78278187
3543,0.78185728
3544,0.78072065
3545,0.77937307
3546,0.77783001
3547,0.77608323
3548,0.77414569
3549,0.77199675
3550,0.76967065
3551,0.76717056
3552,0.76449233
3553,0.76163289
3554,0.75864078
3555,0.75549616
3556,0.75222916
3557,0.74881396
3558,0.74524954
3559,0.7415885
3560,0.73786485
3561,0.73404839
3562,0.7301625
3563,0.72620124
3564,0.7221884
3565,0.71816489
3566,0.71410474
3567,0.71003272
3568,0.70595233
3569,0.70190167
3570,0.69791142
3571,0.69392793
3572,0.69001781
3573,0.68619304
3574,0.68243149
3575,0.6787762
3576,0.67522355
3577,0.67179303
3578,0.66847735
3579,0.66531671
3580,0.66231013
3581,0.65945899
3582,0.65677455
3583,0.65427862
3584,0.65199015
3585,0.64989179
3586,0.64800421
3587,0.64632736
3588,0.64486615
3589,0.64361723
3590,0.64260499
3591,0.64181714
3592,0.64128831
3593,0.6409794
3594,0.64091657
3595,0.64111485
3596,0.64154844
3597,0.64222172
3598,0.64313342
3599,0.6442701
3600,0.64565204
3601,0.64725541
3602,0.64907377
3603,0.65109727
3604,0.65334637
3605,0.65580809
3606,0.65845711
3607,0.66127464
3608,0.66426977
3609,0.66742765
3610,0.67074244
3611,0.67416949
3612,0.67773743
3613,0.68140938
3614,0.68520508
3615,0.68907999
3616,0.69304254
3617,0.69706227
3618,0.70112017
3619,0.70521102
3620,0.70931032
3621,0.71339043
3622,0.71745095
3623,0.72146978
3624,0.7254384
3625,0.72934581
3626,0.73316336
3627,0.73687346
3628,0.74049159
3629,0.74398132
3630,0.7473194
3631,0.75050662
3632,0.75352678
3633,0.7563562
3634,0.75901466
3635,0.76144902
3636,0.76368304
3637,0.76570506
3638,0.76750185
3639,0.76905369
3640,0.77034495
3641,0.7714064
3642,0.77222151
3643,0.77276259
3644,0.77305381
3645,0.77307395
3646,0.77283619
3647,0.7723453
3648,0.77158478
3649,0.77054833
3650,0.76927598
3651,0.76775453
3652,0.76599278
3653,0.76399422
3654,0.76176841
3655,0.75933199
3656,0.75668094
3657,0.75383269
3658,0.75080599
3659,0.74761734
3660,0.74426606
3661,0.7407799
3662,0.73717119
3663,0.73342117
3664,0.72958658
3665,0.72567175
3666,0.72168131
3667,0.71763661
3668,0.71358163
3669,0.70951979
3670,0.70543967
3671,0.70142921
3672,0.69743986
3673,0.69351261
3674,0.68966471
3675,0.68591865
3676,0.68228911
3677,0.6787826
3678,0.67542114
3679,0.67221993
3680,0.66921808
3681,0.66638294
3682,0.66376318
3683,0.66136854
3684,0.65918969
3685,0.65726832
3686,0.65558301
3687,0.65417553
3688,0.65302698
3689,0.65213714
3690,0.65151345
3691,0.65119516
3692,0.65114313
3693,0.65136495
3694,0.65187192
3695,0.6526551
3696,0.65370437
3697,0.65504179
3698,0.65664637
3699,0.65851699
3700,0.66061556
3701,0.66295294
3702,0.66553046
3703,0.66830026
3704,0.67128556
3705,0.6744484
3706,0.67778552
3707,0.68129055
3708,0.68492201
3709,0.68868747
3710,0.69256226
3711,0.69650523
3712,0.70050531
3713,0.70455019
3714,0.70861009
3715,0.71268617
3716,0.71674518
3717,0.72075621
3718,0.72471277
3719,0.72859451
3720,0.73237088
3721,0.73602993
3722,0.73954444
3723,0.74290933
3724,0.74610513
3725,0.74910123
3726,0.7518875
3727,0.75445083
3728,0.7567878
3729,0.75887391
3730,0.76070769
3731,0.76226754
3732,0.76353163
3733,0.76453493
3734,0.76523559
3735,0.76562609
3736,0.76571693
3737,0.76550367
3738,0.76502303
3739,0.76423443
3740,0.76316036
3741,0.76178749
3742,0.76013794
3743,0.75822144
3744,0.75604885
3745,0.75360047
3746,0.75095806
3747,0.74807279
3748,0.74498806
3749,0.74171464
3750,0.73824803
3751,0.73464058
3752,0.73090639
3753,0.72706883
3754,0.72313129
3755,0.71914189
3756,0.71509611
3757,0.71102351
3758,0.70695415
3759,0.70290085
3760,0.69891647
3761,0.69498798
3762,0.6911576
3763,0.68743969
3764,0.68386744
3765,0.68044272
3766,0.67720778
3767,0.67417254
3768,0.67133926
3769,0.66873742
3770,0.66638577
3771,0.66429823
3772,0.66248396
3773,0.66095633
3774,0.65971519
3775,0.6587885
3776,0.65817205
3777,0.65786763
3778,0.6578717
3779,0.65819438
3780,0.65882783
3781,0.65977904
3782,0.66103694
3783,0.6625889
3784,0.66442241
3785,0.66654616
3786,0.66893261
3787,0.67157896
3788,0.67444777
3789,0.67753612
3790,0.68081749
3791,0.68429191
3792,0.68792203
3793,0.6916853
3794,0.69555284
3795,0.69951368
3796,0.70353052
3797,0.70760035
3798,0.71167639
3799,0.71575135
3800,0.71977519
3801,0.7237327
3802,0.72760793
3803,0.73137195
3804,0.73498717
3805,0.73844651
3806,0.74172096
3807,0.74478337
3808,0.74762325
3809,0.75022297
3810,0.75255242
3811,0.75460917
3812,0.75637963
3813,0.75783956
3814,0.75899081
3815,0.75982496
3816,0.76033481
3817,0.76050483
3818,0.76034144
3819,0.75985297
3820,0.75903362
3821,0.75790266
3822,0.75644697
3823,0.75469344
3824,0.75263443
