pre_x,pre_y
5375,0.695672425751181
5376,0.694393565101863
5377,0.694043852765613
5378,0.694645648901968
5379,0.696210851664667
5380,0.698628373292725
5381,0.701779438928112
5382,0.705484555829953
5383,0.709518450216719
5384,0.713646383294991
5385,0.717639717879631
5386,0.721271867466228
5387,0.724335083446012
5388,0.726674942446254
5389,0.728165418359144
5390,0.728737150235959
5391,0.728372894526571
5392,0.727102853118955
5393,0.725003476097315
5394,0.722190810079541
5395,0.718810154254833
5396,0.715032070618634
5397,0.71105195387254
5398,0.707081504446127
5399,0.703341910152716
5400,0.700045509342939
5401,0.697377301228131
5402,0.695489813126406
5403,0.694506315124902
5404,0.694514637996709
5405,0.695543800147673
5406,0.69754165389513
5407,0.700380701080544
5408,0.703882027142115
5409,0.70783058660607
5410,0.711984337775536
5411,0.716090337341274
5412,0.71990413835266
5413,0.723206389290854
5414,0.725815482336419
5415,0.727594757568243
5416,0.728457524595989
5417,0.72837170180035
5418,0.727359038168732
5419,0.72548824509365
5420,0.722867195863529
5421,0.719635978076338
5422,0.715961347603669
5423,0.712033735471802
5424,0.708063904564262
5425,0.704274705902387
5426,0.700885662845737
5427,0.698094543621297
5428,0.696067611068399
5429,0.69494132652584
5430,0.694818094614136
5431,0.695742003462641
5432,0.6976714518322
5433,0.700479531796708
5434,0.703979817987528
5435,0.707946674341216
5436,0.712125649041672
5437,0.716250336800072
5438,0.720064320353303
5439,0.723339787942442
5440,0.725890993666268
5441,0.727581965969093
5442,0.728331128002267
5443,0.72811528907786
5444,0.726967856615701
5445,0.72496974276905
5446,0.722239679588798
5447,0.718926821415501
5448,0.715205467766359
5449,0.7112725281298
5450,0.707344091391328
5451,0.703645900579637
5452,0.700397001388457
5453,0.697792788875552
5454,0.695998358729341
5455,0.695150118921529
5456,0.695345148454562
5457,0.696609872948785
5458,0.698874250559466
5459,0.701981169889971
5460,0.705716979957394
5461,0.709830721615629
5462,0.714046721178297
5463,0.718086291869343
5464,0.721691745466781
5465,0.724644590574434
5466,0.726777374549503
5467,0.727979703592956
5468,0.728201991073735
5469,0.727456789890122
5470,0.725811646572697
5471,0.723376372937808
5472,0.720292993170323
5473,0.716729280748562
5474,0.712875255597487
5475,0.708941350294682
5476,0.705152226830855
5477,0.701733000489695
5478,0.698892035967579
5479,0.696810169656359
5480,0.695640756792851
5481,0.695504564966244
5482,0.696461469293288
5483,0.69847436593517
5484,0.701403818009681
5485,0.705038136535538
5486,0.709121667177676
5487,0.713369166482681
5488,0.717486478347215
5489,0.721197899485618
5490,0.724267952664637
